phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
ENR	passDomestic	24	20010125-0	Douglas C-47A-65-DL (DC-3C)	Rutaca	CBL	PMV	Ciudad Bolívar Airport (CBL/SVCB), Venezuela	Porlamar Airport (PMV/SVMG), Venezuela
ENR	passDomestic	10	20010127-2	Beechcraft 200 Super King Air	Jet Express Services	BJC	SWO	Broomfield-Jeffco Airport, CO (BJC), United States of America	Stillwater Regional Airport, OK (SWO/KSWO), United States of America
APR	cargo	3	20010131-0	Sud Aviation SE-210 Caravelle 10R	Líneas Aéreas Suramericanas	EYP	MVP	El Yopal Airport (EYP/SKYP), Colombia	Mitú Airport (MVP/SKMU), Colombia
APR	passDomestic	2	20010208-0	Swearingen SA227-AT Merlin IVC	Northern Illinois Flight Center	MDW	KSJX	Chicago-Midway Airport, IL (MDW/KMDW), United States of America	Beaver Island Airport, MI (KSJX), United States of America
APR	other	3	20010208-1	Learjet 35A	E.A.S. Aeroservizi	NUE	CIA	Nürnberg Airport (NUE/EDDN), Germany	Roma-Ciampino Airport (CIA/LIRA), Italy
APR	passDomestic	10	20010210-0	GAF Nomad N.24A	Gum Air	PBM		Paramaribo-Zanderij International Airport (PBM/SMJP), Suriname	Jacobkondre, Suriname
ICL	cargo	2	20010227-0	Shorts 360-100	Loganair	EDI	BFS	Edinburgh-Turnhouse Airport (EDI/EGPH), United Kingdom	Belfast International Airport (BFS/EGAA), United Kingdom
ENR	military	21	20010303-0	Shorts C-23B+ Sherpa (330)	Florida Army National Guard	KHRT	NTU	Hurlburt Field, FL (KHRT), United States of America	Oceana NAS, VA (NTU/KNTU), United States of America
STD	passDomestic	1	20010303-1	Boeing 737-4D7	Thai Airways International	BKK	CNX	Bangkok-Don Muang International Airport (BKK/VTBD), Thailand	Chiang Mai International Airport (CNX/VTCC), Thailand
ENR	passInternational	3	20010315-1	Tupolev 154M	Vnukovo Airlines	IST		Istanbul-Atatürk International Airport (IST/LTBA), Turkey	Moskva (unknown airport), Russia
APR	passDomestic	16	20010317-0	Beechcraft 1900C-1	SAL Express - Sociedade de Aviação Ligeira	LAD	SDD	Luanda-4 de Fevereiro Airport (LAD/FNLU), Angola	Lubango Airport (SDD/FNUB), Angola
APR	passInternational	20	20010324-0	de Havilland Canada DHC-6 Twin Otter 300	Air Caraïbes	SXM	SBH	Sint Maarten-Juliana Airport (SXM/TNCM), Netherlands Antilles	Saint-Barthélémy Airport (SBH/TFFJ), Guadeloupe
APR	private	3	20010326-0	Fokker F-27 Friendship 500F	Merpati Nusantara Airlines	SUB	SUB	Surabaya-Juanda Airport (SUB/WARR), Indonesia	Surabaya-Juanda Airport (SUB/WARR), Indonesia
APR	military	2	20010326-1	Beechcraft RC-12K Huron (A200CT Super King Air)	United States Army		NUE	?	Nürnberg Airport (NUE/EDDN), Germany
ICL	other	1	20010402-0	Cessna 501 Citation I/SP	Jet Wings	GRB	RSW	Green Bay-Austin-Straubel Field, WI (GRB/KGRB), United States of America	Fort Myers-Southwest Florida Regional Airport, FL (RSW/KRSW), United States of America
TOF	military	14	20010404-1	Antonov 26	Al Quwwat al-Jawwiya As-Sudaniya (Sudanese Air Force)	HSAD	KRT	Adar Yel Airstrip (HSAD), South Sudan	Khartoum-Civil Airport (KRT/HSSS), Sudan
ENR	passDomestic	10	20010428-0	Cessna 208B Grand Caravan	Les Grands Jorasses	SADF	REL	San Fernando Airport, BA (SADF), Argentina	Trelew Airport, CB (REL/SAVT), Argentina
MNV	other	1	20010429-0	Cessna 208 Caravan I	Mr A. McVinish	VIC	VIC	Ballieston East, VIC, Australia	Ballieston East, VIC, Australia
APR	cargo	1	20010505-0	Cessna 208B Super Cargomaster		CPR	SBS	Casper Airport, WY (CPR/KCPR), United States of America	Steamboat Springs Airport, CO (SBS/KSBS), United States of America
ENR	military	34	20010516-0	IPTN/CASA CN-235M-100	Türk Hava Kuvvetleri (Turkish Air Force)	DIY		Diyarbakir Airport (DIY/LTCC), Turkey	Ankara (unknown airport), Turkey
ENR	passDomestic	30	20010517-0	Yakovlev 40	Faraz Qeshm Airlines	THR	OING	Tehran-Mehrabad Airport (THR/OIII), Iran	Gorgan Airport (OING), Iran
ICL	military	5	20010517-1	Fokker F-27 Friendship 400M	Fuerza Aérea Argentina - FAA	MDZ	PRA	Mendoza-El Plumerillo Airport, MD (MDZ/SAME), Argentina	Paraná AB, ER (PRA/SAAP), Argentina
ICL	military	4	20010518-0	IPTN/CASA CN-235MP-100M	Turkish Navy	ANK		Ankara-Etimesgut Airport (ANK/LTAD), Turkey	?
UNK	military	7	20010522-0	Antonov 12MGA	Russian Air Force			Rzhev AB, Russia	Tambovo-Morshansk AB, Russia
APR	other	3	20010602-0	Antonov 2	Volgograd Air Club			?	?
LDG	passDomestic	1	20010615-0	Transall C-160NG	Manunggal Air	DJJ	WMX	Jayapura-Sentani Airport (DJJ/WAJJ), Indonesia	Wamena Airport (WMX/WAJW), Indonesia
APR	passDomestic	145	20010704-0	Tupolev 154M	Vladivostokavia	SVX	IKT	Ekaterinburg-Koltsovo Airport (SVX/USSS), Russia	Irkutsk Airport (IKT/UIII), Russia
TOF	other	13	20010712-0	PZL-Mielec M28	Overtec	PBL		Puerto Cabello Airport (PBL/SVPC), Venezuela	Caracas (unknown airport), Venezuela
ENR	cargo	10	20010714-0	Ilyushin 76TD	Russ Air Transport Company	CKL	NSK	Chkalovsky Airport (CKL), Russia	Noril'sk Airport (NSK), Russia
APR	cargo	3	20010805-0	Dassault Falcon 20C	Naske Air	KEF	UAK	Reykjavík-Keflavík International Airport (KEF/BIKF), Iceland	Narsarsuaq Airport (UAK/BGBW), Greenland
ENR	passDomestic	4	20010823-1	Antonov 28	Victoria Air		FZOE	Kama, Congo (Democratic Republic)	Kampene Airport (FZOE), Congo (Democratic Republic)
ICL	cargo	2	20010824-0	Learjet 25	Ameristar Jet Charter	ITH	JXN	Ithaca-Tompkins County Airport, NY (ITH), United States of America	Jackson-Reynolds Municipal Airport, MI (JXN/KJXN), United States of America
APR	other	1	20010824-2	Beechcraft 200 Super King Air	Middletown Corporate Aviation			Dayton-Greene County-Lewis A. Jackson Regional Airport, OH, United States of America	Piqua Airport, OH, United States of America
APR	passDomestic	4	20010829-0	CASA CN-235-200	Binter Méditerraneo	MLN	AGP	Melilla Airport (MLN/GEML), Spain	Málaga Airport (AGP/LEMG), Spain
ENR	passDomestic	1692	20010911-0	Boeing 767-223ER	American Airlines	BOS	LAX	Boston-Logan International Airport, MA (BOS/KBOS), United States of America	Los Angeles International Airport, CA (LAX/KLAX), United States of America
ENR	passDomestic	965	20010911-1	Boeing 767-222	United Airlines	BOS	LAX	Boston-Logan International Airport, MA (BOS/KBOS), United States of America	Los Angeles International Airport, CA (LAX/KLAX), United States of America
ENR	passDomestic	44	20010911-2	Boeing 757-222	United Airlines	EWR	SFO	Newark International Airport, NJ (EWR/KEWR), United States of America	San Francisco International Airport, CA (SFO/KSFO), United States of America
ENR	passDomestic	189	20010911-3	Boeing 757-223	American Airlines	IAD	LAX	Washington-Dulles International Airport, DC (IAD/KIAD), United States of America	Los Angeles International Airport, CA (LAX/KLAX), United States of America
ICL	passDomestic	19	20010912-0	Let L-410UVP-E	Aero Ferinco	CZA	CZM	Chichén Itzá Airport (CZA), Mexico	Cozumel Airport (CZM/MMCZ), Mexico
ENR	passDomestic	1	20010915-0	Fokker 100	TAM Linhas Aéreas	REC	VCP	Recife-Guararapes International Airport, PE (REC/SBRF), Brazil	São Paulo/Campinas-Viracopos International Airport, SP (VCP/SBKP), Brazil
TOF	passInternational	8	20010918-0	Let L-410UVP-E	Atlantic Airlines	GUA	SAP	Guatemala City-La Aurora Airport (GUA/MGGT), Guatemala	San Pedro Sula-Ramon Villeda Morales Airport (SAP/MHLM), Honduras
UNK	military	9	20010927-0	Lockheed C-130E Hercules	Força Aérea Brasileira - FAB			?	?
ENR	passInternational	78	20011004-0	Tupolev 154M	Sibir Airlines	TLV	OVB	Tel Aviv-Ben Gurion International Airport (TLV/LLBG), Israel	Novosibirsk-Tolmachevo Airport (OVB/UNNN), Russia
TOF	passInternational	118	20011008-0	McDonnell Douglas MD-87	Scandinavian Airlines System - SAS	LIN	CPH	Milano-Linate Airport (LIN/LIML), Italy	København-Kastrup Airport (CPH/EKCH), Denmark
TXI	exec	114	20011008-1	Cessna 525A CitationJet CJ2	H. Enschmann	LIN	LBG	Milano-Linate Airport (LIN/LIML), Italy	Paris-Le Bourget Airport (LBG/LFPB), France
ICL	passDomestic	10	20011010-0	Cessna 208 Caravan I	Penair - Peninsula Airways	DLG	AKN	Dillingham Municipal Airport, AK (DLG/PADL), United States of America	King Salmon Airport, AK (AKN/PAKN), United States of America
ENR	passInternational	10	20011010-1	Swearingen SA226-AT Merlin IVA	Flightline	BCN	ORN	Barcelona Airport (BCN/LEBL), Spain	Oran-es Senia Airport (ORN/DAOO), Algeria
APR	passDomestic	2	20011011-0	Swearingen SA226-TC Metro II	Perimeter Airlines (Inland)	YGO	ZTM	Gods Lake Narrows Airport, MB (YGO/CYGO), Canada	Shamattawa Airport, MB (ZTM), Canada
TOF	cargo	3	20011103-1	Reims Cessna F406 Caravan II	GJ Air	JNB	ERS	Johannesburg International Airport (JNB/FAJS), South Africa	Windhoek-Eros Airport (ERS/FYWH), Namibia
ENR	passInternational	265	20011112-0	Airbus A300B4-605R	American Airlines	JFK	SDQ	New York-John F. Kennedy International Airport, NY (JFK/KJFK), United States of America	Santo Domingo-Las Américas José Francisco Peña Gómez Int'l Airport (SDQ/MDSD), Dominican Republic
ENR	passDomestic	27	20011119-0	Ilyushin 18V	IRS Aero	UOHH	DME	Khatanga (UOHH), Russia	Moskva-Domodedovo Airport (DME/UUDD), Russia
APR	passDomestic	2	20011123-0	Antonov 28		TLL	KDL	Tallinn-Ülemiste Airport (TLL/EETN), Estonia	Kärdla Airport (KDL/EEKA), Estonia
APR	passInternational	24	20011124-0	Avro RJ.100	Crossair	TXL	ZRH	Berlin-Tegel Airport (TXL/EDDT), Germany	Zürich-Kloten Airport (ZRH/LSZH), Switzerland
APR	private	4	20011124-1	Beechcraft 200 Super King Air	Aéro Photo Europe Investigation (APEI)	LFHB	LFHB	Moulins-Avermes Airport (LFHB), France	Moulins-Avermes Airport (LFHB), France
APR	cargo	1	20011127-0	Boeing 747-246F	MK Airlines	LUX	PHC	Luxembourg-Findel Airport (LUX/ELLX), Luxembourg	Port Harcourt Airport (PHC/DNPO), Nigeria
ENR	passDomestic	3	20011128-0	Cessna 208B Grand Caravan		SYQ	XQP	San José-Tobias Bolanos International Airport (SYQ/MRPV), Costa Rica	Quepos Airport (XQP/MRQP), Costa Rica
APR	cargo	2	20011201-1	Cessna 208B Grand Caravan	Air Carriers Inc.	LIT	KEKY	Little Rock National Airport, AR (LIT/KLIT), United States of America	Bessemer Airport, AL (KEKY), United States of America
ENR	military	18	20011202-0	Ilyushin 76TD	Federal Border Guard Aviation Command	BTK	PKC	Bratsk Airport (BTK/UIBB), Russia	Petropavlovsk-Kamchatsky Airport (PKC/UHPP), Russia
ENR	other	2	20011210-0	Learjet 24D	Air Cargo Express	HRL	ELP	Harlingen-Valley International Airport, TX (HRL/KHRL), United States of America	El Paso International Airport, TX (ELP/KELP), United States of America
LDG	passDomestic	1	20011210-1	Beechcraft B200C Super King Air	Royal Flying Doctor Service	ADL	MGB	Adelaide Airport, SA (ADL/YPAD), Australia	Mount Gambier Airport, SA (MGB/YMTG), Australia
ENR	passDomestic	6	20011214-0	Let L-410A	Eagle Air	BUX	BNC	Bunia Airport (BUX/FZKA), Congo (Democratic Republic)	Beni Airport (BNC/FZNP), Congo (Democratic Republic)
ENR	passDomestic	16	20011216-0	Let L-410UVP-E	Heliandes	EOH	UIB	Medellín-Enrique Olaya Herrera Airport (EOH/SKMD), Colombia	Quibdó-El Caraño Airport (UIB/SKUI), Colombia
ICL	other	2	20011220-0	Cessna 560 Citation V	Eagle Air	ZRH	BRN	Zürich-Kloten Airport (ZRH/LSZH), Switzerland	Berne-Belp Airport (BRN/LSZB), Switzerland
ICL	passDomestic	8	20011226-0	Pilatus Britten-Norman BN-2B-26 Islander	BAL Bremerhaven Airline	BRV	AGE	Bremerhaven Airport (BRV/EDWB), Germany	Wangerooge Airport (AGE/EDWG), Germany
APR	military	8	20010104-1	Shaanxi Yunshuji Y-8	People's Liberation Army - Air Force - PLAAF			?	Zhengzhou Air Base, China
TOF	other	2	20011122-0	Learjet 25B	Universal Jet Aviation	PIT	BCT	Pittsburgh International Airport, PA (PIT/KPIT), United States of America	Boca Raton Public Airport, FL (BCT/KBCT), United States of America
ENR	cargo	3	20020114-0	Embraer 120RT Brasilia	Ibertrans Aérea	MAD	BIO	Madrid-Barajas Airport (MAD/LEMD), Spain	Bilbao Airport (BIO/LEBB), Spain
APR	other	2	20021108-1	IAI 1124A Westwind II	Richmor Aviation	LAS	TSM	Las Vegas-McCarran International Airport, NV (LAS/KLAS), United States of America	Taos Airport, NM (TSM), United States of America
APR	passDomestic	1	20020116-0	Boeing 737-3Q8	Garuda Indonesia Airways	AMI	JOG	Mataram-Selaparang Airport (AMI/WADA), Indonesia	Yogyakarta-Adisutjipto Airport (JOG/WARJ), Indonesia
ENR	passDomestic	26	20020117-0	Fairchild FH-227E	Petroproduccion - Unidad de Aviacion	UIO	LGQ	Quito-Mariscal Sucre Airport (UIO/SEQU), Ecuador	Lago Agrio Airport (LGQ/SELA), Ecuador
APR	military	5	20020127-0	Antonov 12	Força Aérea Popular de Angola	LAD	LUO	Luanda-4 de Fevereiro Airport (LAD/FNLU), Angola	Luena Airport (LUO/FNUE), Angola
APR	passDomestic	94	20020128-0	Boeing 727-134	TAME Ecuador	UIO	TUA	Quito-Mariscal Sucre Airport (UIO/SEQU), Ecuador	Tulcán Airport (TUA/SETU), Ecuador
ICL	military	2	20020202-0	Learjet C-21A (Learjet 35)	United States Air Force - USAF	RCA	RCA	Rapid City-Ellsworth AFB, SD (RCA), United States of America	Rapid City-Ellsworth AFB, SD (RCA), United States of America
ENR	cargo	8	20020207-0	Antonov 12BP	Volare Aviation Enterprise	AGA	ALG	Agadir-Al Massira International Airport (AGA/GMAA), Morocco	Algiers-Houari Boumediene Airport (ALG/DAAG), Algeria
APR	passDomestic	119	20020212-0	Tupolev 154M	Iran Air Tours	THR	KHD	Tehran-Mehrabad Airport (THR/OIII), Iran	Khorramabad Airport (KHD/OICK), Iran
APR	other	2	20020214-2	Beechcraft 300LW Super King Air	Kronospan GmbH	POZ	SMV	Poznan-Lawica Airport (POZ/EPPO), Poland	St. Moritz-Samedan Airport (SMV/LSZS), Switzerland
APR	cargo	1	20020215-0	Antonov 12BP	Tiramavia		ROB	?	Monrovia-Roberts International Airport (ROB/GLRB), Liberia
APR	military	17	20020221-0	Antonov 26	Aviatsiya Voenno-morskogo Flota Rossii (Russian Navy)			Severomorsk/Safanovo AB, Russia	Lakhta Air Base, Russia
ENR	other	3	20020309-0	Antonov 2TP	Svedijos Prekés	BUD	TUN	Budapest-Ferihegy Airport (BUD/LHBP), Hungary	Tunis-Carthage Airport (TUN/DTTA), Tunisia
ENR	passDomestic	16	20020314-0	Antonov 2R	Aerotaxi	CFG	CCC	Cienfuegos Airport (CFG/MUCF), Cuba	Cayo Coco/Jardines del Rey Airport (CCC/MUCC), Cuba
APR	cargo	1	20020315-0	Cessna 208B Super Cargomaster	Priority Air Charter	MSP	YIP	Minneapolis-St. Paul International Airport, MN (MSP/KMSP), United States of America	Detroit-Willow Run Airport, MI (YIP/KYIP), United States of America
APR	military	7	20020109-0	Lockheed KC-130R Hercules	United States Marine Corps	JAG		Jacobabad Airport (JAG/OPJA), Pakistan	Shamsi, Pakistan
APR	other	4	20020317-0	Let L-410UVP-E	Djibouti Airlines	MGQ	JIB	Mogadishu International Airport (MGQ/HCMM), Somalia	Djibouti-Ambouli Airport (JIB/HDAM), Djibouti
LDG	cargo	2	20020412-0	Swearingen SA227-AC Metro III	Tadair	MAD	PMI	Madrid-Barajas Airport (MAD/LEMD), Spain	Palma de Mallorca Airport (PMI/LEPA), Spain
APR	passInternational	129	20020415-0	Boeing 767-2J6ER	Air China	PEK	PUS	Beijing-Capital Airport (PEK/ZBAA), China	Busan-Gimhae (Pusan) International Airport (PUS/RKPK), South Korea
ENR	passDomestic	149	20020504-1	BAC One-Eleven 525FT	EAS Airlines	KAN	LOS	Kano-Aminu Kano International Airport (KAN/DNKN), Nigeria	Lagos-Murtala Muhammed International Airport (LOS/DNMM), Nigeria
TOF	other	3	20020419-0	Antonov 32A	SELVA Colombia	PPN	EOH	Popayán-Guillermo León Valencia Airport (PPN/SKPP), Colombia	Medellín-Enrique Olaya Herrera Airport (EOH/SKMD), Colombia
APR	passDomestic	112	20020507-1	McDonnell Douglas MD-82	China Northern Airlines	PEK	DLC	Beijing-Capital Airport (PEK/ZBAA), China	Dalian Airport (DLC/ZYTL), China
ENR	military	7	20020508-0	North American T-39N Sabreliner	United States Navy	NPA	NPA	Pensacola NAS, FL (NPA/KNPA), United States of America	Pensacola NAS, FL (NPA/KNPA), United States of America
APR	passInternational	14	20020507-0	Boeing 737-566	EgyptAir	CAI	TUN	Cairo International Airport (CAI/HECA), Egypt	Tunis-Carthage Airport (TUN/DTTA), Tunisia
APR	other	5	20020521-0	Let L-410UVP	Sky Executive Airlines	PHC	CBQ	Port Harcourt Airport (PHC/DNPO), Nigeria	Calabar Airport (CBQ/DNCA), Nigeria
ENR	military	7	20020508-1	North-American Rockwell T-39N Sabreliner	United States Navy	NPA		Pensacola NAS, FL (NPA/KNPA), United States of America	?
ENR	passInternational	225	20020525-0	Boeing 747-209B	China Airlines	TPE	HKG	Taipei-Chiang Kai Shek International Airport (TPE/RCTP), Taiwan	Hong Kong-Chek Lap Kok International Airport (HKG/VHHH), Hong Kong
ENR	passDomestic	6	20020525-1	de Havilland Canada DHC-6 Twin Otter 300	Trigana Air Service	NBX	EWI	Nabire Airport (NBX/WABI), Indonesia	Enarotali Airport (EWI/WABT), Indonesia
APR	cargo	3	20020601-0	British Aerospace BAe-748-372 Srs. 2B	Airquarius Aviation	BFN	GRJ	Bloemfontein International Airport (BFN/FABL), South Africa	George Airport (GRJ/FAGG), South Africa
ENR	passDomestic	2	20020609-0	Fokker 50	Ethiopian Airlines	BJR	ADD	Bahar Dar Airport (BJR/HABD), Ethiopia	Addis Ababa-Bole Airport (ADD/HAAB), Ethiopia
ENR	military	3	20020612-0	Lockheed MC-130H Hercules	United States Air Force - USAF	SBF		Sardeh Band Airport (SBF/OADS), Afghanistan	?
MNV	other	3	20020617-0	Lockheed C-130A Hercules	Hawkins & Powers Aviation	MEV	MEV	Minden-Tahoe Airport, NV (MEV/KMEV), United States of America	Minden-Tahoe Airport, NV (MEV/KMEV), United States of America
ENR	passInternational	71	20020701-0	Tupolev 154M	Bashkirskie Avialinii	DME	BCN	Moskva-Domodedovo Airport (DME/UUDD), Russia	Barcelona Airport (BCN/LEBL), Spain
ENR	cargo	71	20020701-1	Boeing 757-23APF	DHL Aviation	BGY	BRU	Bergamo-Orio Al Serio Airport (BGY/LIME), Italy	Brussel-Zaventem Airport (BRU/EBBR), Belgium
APR	cargo	28	20020704-0	Boeing 707-123B	New Gomair	NDJ	BZV	N'Djamena Airport (NDJ/FTTJ), Chad	Brazzaville-Maya Maya Airport (BZV/FCBB), Congo
ENR	passDomestic	9	20020716-2	Pilatus Britten-Norman BN-2 Islander		TRK	LBW	Tarakan-Juwata Airport (TRK/WALR), Indonesia	Long Bawan Airport (LBW/WRLB), Indonesia
ENR	passDomestic	4	20020717-0	de Havilland Canada DHC-6 Twin Otter 300	Skyline Airways	JUM	SKH	Jumla Airport (JUM/VNJL), Nepal	Surkhet Airport (SKH/VNSK), Nepal
MNV	other	2	20020718-0	Consolidated PB4Y-2 Super Privateer	Hawkins & Powers Aviation	BJC	BJC	Broomfield-Jeffco Airport, CO (BJC), United States of America	Broomfield-Jeffco Airport, CO (BJC), United States of America
TOF	other	14	20020728-0	Ilyushin 86	Pulkovo Aviation Enterprise	SVO	LED	Moskva-Sheremetyevo Airport (SVO/UUEE), Russia	Saint Petersburg-Pulkovo Airport (LED/ULLI), Russia
ENR	military	10	20020807-0	Lockheed MC-130H Hercules	United States Air Force - USAF	BQN		Aguadilla-Borinquen Airport (BQN/TJBQ), Puerto Rico	?
TOF	other	2	20020808-1	Antonov 2R	Eisk-avia			?	?
ENR	other	5	20020815-0	Shaanxi Yunshuji Y-8D	Sri Lanka Air Force	RML	RML	Colombo-Ratmalana Airport (RML/VCCC), Sri Lanka	Colombo-Ratmalana Airport (RML/VCCC), Sri Lanka
APR	passDomestic	16	20020829-0	Antonov 28	Vostok Aviakompania			Poliny Osipenko, Russia	Ayan Airport, Russia
APR	passDomestic	18	20020822-0	de Havilland Canada DHC-6 Twin Otter 300	Shangri-La Air	JMO	PKR	Jomsom Airport (JMO/VNJS), Nepal	Pokhara Airport (PKR/VNPK), Nepal
APR	passDomestic	23	20020830-0	Embraer 120ER Brasilia	Rico Linhas Aéreas	TRQ	RBR	Tarauacá Airport, AC (TRQ/SBTK), Brazil	Rio Branco-Pres. Medici Airport, AC (RBR/SBRB), Brazil
ENR	other	3	20020902-0	Cessna 650 Citation VI	CAAC Air Traffic Management Bureau	XIC	XIC	Xichang Airport (XIC/ZUXC), China	Xichang Airport (XIC/ZUXC), China
LDG	passDomestic	1	20020830-3	Learjet 25C	Care Flight International	MRK	LEX	Marco Island Airport, FL (MRK), United States of America	Lexington-Blue Grass Airport, KY (LEX/KLEX), United States of America
ENR	cargo	2	20020914-0	ATR-42-312	TOTAL Linhas Aéreas	GRU	LDB	São Paulo-Guarulhos International Airport, SP (GRU/SBGR), Brazil	Londrina Airport, PR (LDB/SBLO), Brazil
ICL	other	13	20020914-1	Antonov 2	ROSTO Krasnoyarsk			?	?
APR	passDomestic	3	20020928-0	de Havilland Canada DHC-3 Otter	Deraps Aviation			Lake de l'Avion, QU, Canada	Aguanish River, QU, Canada
UNK	military	15	20021001-0	Ilyushin 38	Indian Naval Air Arm			?	?
UNK	military	12	20021001-1	Ilyushin 38	Indian Naval Air Arm			?	?
LDG	other	1	20021007-1	Learjet 60	American Virginia	MII	CSU	Marília-Dr Gastão Vidigal Airport, SP (MII/SBML), Brazil	Santa Cruz do Sul Airport, RS (CSU), Brazil
ENR	cargo	1	20021023-1	Cessna 208B Super Cargomaster	Mid-Atlantic Freight	BFM	MGM	Mobile Aerospace Field, AL (BFM/KBFM), United States of America	Montgomery-Dannelly Field, AL (MGM/KMGM), United States of America
APR	passDomestic	8	20021025-0	Beechcraft A100 King Air	Aviation Charter	STP	EVM	St. Paul Downtown Airport, MN (STP/KSTP), United States of America	Eveleth-Virginia Municipal Airport, MN (EVM/KEVM), United States of America
APR	passInternational	20	20021106-0	Fokker 50	Luxair	THF	LUX	Berlin-Tempelhof Airport (THF/EDDI), Germany	Luxembourg-Findel Airport (LUX/ELLX), Luxembourg
ENR	passDomestic	7	20021107-1	IRMA/Britten-Norman BN-2A-21 Islander	Dirgantara Air Services	TRK	LBW	Tarakan-Juwata Airport (TRK/WALR), Indonesia	Long Bawan Airport (LBW/WRLB), Indonesia
ENR	private	4	20021108-0	Cessna 208B Grand Caravan	Brown County Financial Services	LAS	MAF	Las Vegas-McCarran International Airport, NV (LAS/KLAS), United States of America	Midland International Airport, TX (MAF/KMAF), United States of America
TOF	exec	5	20020104-0	Canadair CL-600-2B16 Challenger 604	Epps Air Service	BHX	BGR	Birmingham International Airport (BHX/EGBB), United Kingdom	Bangor International Airport, ME (BGR/KBGR), United States of America
ENR	passDomestic	19	20021111-0	Fokker F-27 Friendship 600	Laoag International Airline	MNL	LAO	Manila-Ninoy Aquino International Airport (MNL/RPLL), Philippines	Laoag Airport (LAO/RPLI), Philippines
APR	passDomestic	1	20021128-0	Let L-410UVP-E20	Eagle Aviation		UKA	Musiara Airstrip, Kenya	Ukunda Airport (UKA), Kenya
ENR	other	3	20021209-0	Beechcraft 1900C	Raytheon Aircraft	ICT	KMEZ	Wichita-Mid-Continent Airport, KS (ICT/KICT), United States of America	Mena Intermountain Municipal Airport, AR (KMEZ), United States of America
APR	cargo	1	20021217-1	Cessna 208B Super Cargomaster	Planemasters	DEC	RFD	Decatur Airport, IL (DEC/KDEC), United States of America	Rockford-Greater Rockford Airport, IL (RFD/KRFD), United States of America
ENR	passDomestic	8	20021213-1	Britten-Norman BN-2A-26 Islander	Island Airways Ltd.		MAG	Gohu Airstrip, Papua New Guinea	Madang Airport (MAG/AYMD), Papua New Guinea
ENR	cargo	2	20021221-0	ATR-72-202	Transasia Airways	TPE	MFM	Taipei-Chiang Kai Shek International Airport (TPE/RCTP), Taiwan	Macau Airport (MFM/VMMC), Macau
ENR	passInternational	44	20021223-0	Antonov 140	Aeromist Kharkiv	TZX	IFN	Trabzon Airport (TZX/LTCG), Turkey	Isfahan-Shahid Beheshti Airport (IFN/OIFM), Iran
APR	other	1	20021225-0	Cessna 208B Super Cargomaster	Telford Aviation	ECG	MEO	Elizabeth City Airport, NC (ECG), United States of America	Manteo-Dare County Regional Airport, NC (MEO), United States of America
APR	military	3	20021226-0	Embraer C-95A Bandeirante	Força Aérea Brasileira - FAB	SBMT	FLN	São Paulo-Campo de Marte Airport, SP (SBMT), Brazil	Florianópolis-Hercilio Luz International Airport, SC (FLN/SBFL), Brazil
APR	passDomestic	1	20021227-0	Let L-410UVP	Ocean Airlines		AJN	Moroni (unknown airport), Comoros	Anjouan-Ouani Airport (AJN/FMCV), Comoros
ENR	other	1	20021229-0	Britten-Norman BN-2A-7 Islander	PARSA	BOC	BLB	Bocas Del Toro Airport (BOC/MPBO), Panama	Panama City Albrook-Marcos A. Gelabert International Airport (BLB/MPLB), Panama
LDG	exec	4	20020115-0	de Havilland Canada DHC-6 Twin Otter 300	Procuraduría General de la República (PGR)	MEX	MMCH	Mexico City-Benito Juárez International Airport (MEX/MMMX), Mexico	Chilpancingo Airport (MMCH), Mexico
TOF	passInternational	141	20031225-0	Boeing 727-223	Union des Transports Africains de Guinée	COO	AKF	Cotonou Airport (COO/DBBB), Benin	Kufrah Airport (AKF/HLKF), Libya
APR	passDomestic	75	20030108-1	Avro RJ.100	THY Turkish Airlines	IST	DIY	Istanbul-Atatürk International Airport (IST/LTBA), Turkey	Diyarbakir Airport (DIY/LTCC), Turkey
ENR	other	7	20030117-2	Antonov 24B		BZV	DLA	Brazzaville-Maya Maya Airport (BZV/FCBB), Congo	Douala Airport (DLA/FKKD), Cameroon
TOF	exec	3	20030124-0	Grumman G-159 Gulfstream I	African Commuter Services	HKBA		Busia Airport (HKBA), Kenya	Nairobi (unknown airport), Kenya
APR	cargo	6	20030131-0	Ilyushin 76TD	Euro Asia Aviation	MFM	BCH	Macau Airport (MFM/VMMC), Macau	Baucau-English Madeira Airport (BCH/WPEC), East Timor
ICL	cargo	2	20030210-0	Antonov 28	Enimex	TLL	HEL	Tallinn-Ülemiste Airport (TLL/EETN), Estonia	Helsinki-Vantaa Airport (HEL/EFHK), Finland
ENR	military	275	20030219-0	Ilyushin 76MD	Iranian Revolutionary Guard Corps Air Force - IRGCAF	ZAH	KER	Zahedan Airport (ZAH/OIZH), Iran	Kerman Airport (KER/OIKK), Iran
ENR	military	17	20030220-0	Fokker F-27 Friendship 200	Pakistan Air Force	ISB	OHT	Islamabad International Airport (ISB/OPRN), Pakistan	Kohat Airport (OHT/OPKT), Pakistan
MNV	other	11	20030301-0	Let L-410UVP	Borki Air Club			Borki Airport, Russia	Borki Airport, Russia
ICL	passDomestic	102	20030306-0	Boeing 737-2T4	Air Algérie	TMR	GHA	Tamanrasset-Aguemar Airport (TMR/DAAT), Algeria	Ghardaia-Noumerate Airport (GHA/DAUG), Algeria
