phase	nature	fatalities	file	type	opr	dep	dest	dep_full	dest_full
TOF	passDomestic	3	19890721-0	de Havilland Canada DHC-6 Twin Otter 300	Talair	RGE		Porgera Airport (RGE), Papua New Guinea	?
UNK	military	42	19890723-0	Antonov 26	Força Aérea Popular de Angola			?	?
APR	passInternational	79	19890727-0	McDonnell Douglas DC-10-30	Korean Air	JED	TIP	Jeddah-King Abdulaziz International Airport (JED/OEJN), Saudi Arabia	Tripoli International Airport (TIP/HLLT), Libya
ICL	cargo	3	19890731-0	Convair CV-580	Air Freight NZ	AKL	CHC	Auckland International Airport (AKL/NZAA), New Zealand	Christchurch International Airport (CHC/NZCH), New Zealand
APR	passDomestic	34	19890803-1	Shorts 330-200	Olympic Aviation	SKG	SMI	Thessaloniki International Airport (SKG/LGTS), Greece	Samos Airport (SMI/LGSM), Greece
ENR	passDomestic	16	19890807-0	de Havilland Canada DHC-6 Twin Otter 300	RRC Air Services	ADD		Addis Ababa-Bole Airport (ADD/HAAB), Ethiopia	Funyido refugee camp, Ethiopia
ENR	passDomestic	10	19890808-0	Britten-Norman BN-2A-26 Islander	Aspiring Air	WKA	MFN	Wanaka Airport (WKA/NZWF), New Zealand	Milford Sound Airport (MFN/NZMF), New Zealand
MNV	military	1	19890809-0	Lockheed C-130H Hercules	United States Air Force - USAF			?	?
APR	military	7	19890810-0	Ilyushin 76M	Soviet Air Force			Novgorod-Krechevitsy Airport, Russia	Novgorod-Krechevitsy Airport, Russia
TOF	passDomestic	34	19890815-1	Antonov 24RV	China Eastern Airlines	SHA	KHN	Shanghai-Hongqiao Airport (SHA/ZSSS), China	Nanchang Airport (KHN/ZSCN), China
UNK	private	3	19890822-0	Canadair CL-215-1A10	CVG Ferrominera Orinoco	PZO	PZO	Puerto Ordaz Airport (PZO/SVPR), Venezuela	Puerto Ordaz Airport (PZO/SVPR), Venezuela
ENR	passDomestic	54	19890825-1	Fokker F-27 Friendship 200	Pakistan International Airlines - PIA	GIL	ISB	Gilgit Airport (GIL/OPGT), Pakistan	Islamabad International Airport (ISB/OPRN), Pakistan
ENR	passDomestic	13	19890903-0	Boeing 737-241	Varig	MAB	BEL	Marabá Airport, PA (MAB/SBMA), Brazil	Belém/Val-de-Cans International Airport , PA (BEL/SBBE), Brazil
ICL	passInternational	171	19890903-1	Ilyushin 62M	Cubana de Aviación	HAV	CGN	Havana-José Martí International Airport (HAV/MUHA), Cuba	Köln/Bonn Airport (CGN/EDDK), Germany
MNV	other	2	19890904-2	Fokker F-27 Friendship 600	Securité Civile	OBS	OBS	Aubenas-Vals-Lanas Airport (OBS/LFHO), France	Aubenas-Vals-Lanas Airport (OBS/LFHO), France
ENR	passInternational	55	19890908-0	Convair CV-580	Partnair	FBU	HAM	Oslo-Fornebu Airport (FBU/ENFB), Norway	Hamburg-Fuhlsbüttel Airport (HAM/EDDH), Germany
APR	other	7	19890911-1	Antonov 26	Fuerza Aérea Revolucionaria		HAV	?	Havana-José Martí International Airport (HAV/MUHA), Cuba
APR	passDomestic	22	19890915-0	de Havilland Canada DHC-6 Twin Otter 300	Merpati Nusantara Airlines	MKW	NTI	Manokwari-Rendani Airport (MKW/WASR), Indonesia	Bintuni Airport (NTI), Indonesia
APR	exec	6	19890915-2	Beechcraft 100 King Air	James Holmes	ORL		Orlando Executive Airport, FL (ORL/KORL), United States of America	Mayfield Graves County Airport, KY, United States of America
ENR	passInternational	170	19890919-1	McDonnell Douglas DC-10-30	Union de Transportes Aériens - UTA	NDJ	CDG	N'Djamena Airport (NDJ/FTTJ), Chad	Paris-Charles de Gaulle Airport (CDG/LFPG), France
TOF	passDomestic	2	19890920-0	Boeing 737-401	USAir	LGA	CLT	New York-La Guardia Airport, NY (LGA/KLGA), United States of America	Charlotte-Douglas Airport, NC (CLT/KCLT), United States of America
STD	military	2	19890920-1	Boeing KC-135E Stratotanker	United States Air Force - USAF	EIL	EIL	Fairbanks-Eielson AFB, AK (EIL/PAEI), United States of America	Fairbanks-Eielson AFB, AK (EIL/PAEI), United States of America
ENR	passDomestic	11	19890923-0	Dornier 228-201	Vayudoot	PNQ	HYD	Pune-Lohegaon Airport (PNQ/VAPO), India	Hyderabad-Begumpet Airport (HYD/VOHY), India
APR	exec	2	19890923-2	Learjet 25D	Gobierno de la Provincia de Misiones	AEP	PSS	Buenos Aires-Jorge Newbery Airport, BA (AEP/SABE), Argentina	Posadas Airport, MI (PSS/SARP), Argentina
APR	passDomestic	7	19890926-0	Swearingen SA227-AC Metro III	Skylink Airlines	YVR	YXT	Vancouver International Airport, BC (YVR/CYVR), Canada	Terrace Airport, BC (YXT/CYXT), Canada
LDG	passDomestic	10	19890927-0	de Havilland Canada DHC-6 Vista Liner 300	Grand Canyon Airlines	GCN	GCN	Grand Canyon-National Park Airport, AZ (GCN/KGCN), United States of America	Grand Canyon-National Park Airport, AZ (GCN/KGCN), United States of America
ENR	cargo	9	19890928-0	Antonov 32	MAP Moscow			Mukachevo Airport, Ukraine	Moskva (unknown airport), Russia
